"neighbourhood_cleansed","avarge_listing_prices_in_this_neighbourhood"
"el Guinardó","571.5175438596491"
"Sant Gervasi - la Bonanova","252.08333333333334"
"la Maternitat i Sant Ramon","245.45945945945945"
"Sants - Badal","230.65128205128204"
"Diagonal Mar i el Front Marítim del Poblenou","218.86776859504133"
"la Marina del Prat Vermell","190"
"el Fort Pienc","180.8997668997669"
"la Dreta de l'Eixample","178.25645933014354"
"Vallbona","174"
"la Vila Olímpica del Poblenou","168.14503816793894"
"la Font d'en Fargues","165.75"
"el Poblenou","144.24661246612467"
"Sant Genís dels Agudells","138.33333333333334"
"el Parc i la Llacuna del Poblenou","133.27218934911244"
"el Camp de l'Arpa del Clot","129.10507246376812"
"Pedralbes","128.88235294117646"
"la Sagrada Família","128.75026567481402"
"les Corts","124.74407582938389"
"l'Antiga Esquerra de l'Eixample","123.54920634920634"
"Vallcarca i els Penitents","123.1375"
"el Barri Gòtic","121.56396866840731"
"Sarrià","115.9375"
"el Camp d'en Grassot i Gràcia Nova","114.32669322709164"
"la Vila de Gràcia","113.60021208907742"
"Sant Gervasi - Galvany","113.01666666666667"
"Sant Antoni","113.00996264009963"
"Hostafrancs","112.53092783505154"
"el Poble Sec","108.44878706199461"
"el Coll","108.37931034482759"
"el Putxet i el Farró","108.12376237623762"
"el Baix Guinardó","105.6086956521739"
"les Tres Torres","103.97142857142858"
"Sant Pere, Santa Caterina i la Ribera","98.89068441064639"
"la Nova Esquerra de l'Eixample","98.0934306569343"
"Provençals del Poblenou","97.28787878787878"
"Vilapicina i la Torre Llobeta","97.24528301886792"
"Torre Baró","95.6"
"la Salut","92.44444444444444"
"Vallvidrera, el Tibidabo i les Planes","90.92682926829268"
"Sants","90.71335504885994"
"el Raval","90.40793650793651"
"el Clot","87.78947368421052"
"Can Baró","87.52941176470588"
"el Besòs i el Maresme","86.65882352941176"
"la Font de la Guatlla","82.42708333333333"
"Porta","78.4090909090909"
"la Barceloneta","77.8766404199475"
"Navas","76.91803278688525"
"el Congrés i els Indians","76.43333333333334"
"el Carmel","74.97590361445783"
"la Bordeta","70.15789473684211"
"la Sagrera","67.125"
"Horta","63"
"Verdun","60.77777777777778"
"la Trinitat Nova","60.25"
"Sant Andreu","59.53030303030303"
"el Bon Pastor","58"
"la Marina de Port","57.794117647058826"
"la Teixonera","57.142857142857146"
"Montbau","56.875"
"la Vall d'Hebron","56.285714285714285"
"Sant Martí de Provençals","55.30508474576271"
"la Verneda i la Pau","55.17142857142857"
"la Guineueta","47.833333333333336"
"les Roquetes","46.15384615384615"
"la Prosperitat","45.904761904761905"
"Can Peguera","43"
"Canyelles","40"
"la Trinitat Vella","37.5"
"la Clota","31"
"el Turó de la Peira","27.954545454545453"
